Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-01,高雄市,F1 雜柑 檸檬 ,20.0,15.2,10.0,15.1,13.0,1740.0,-27.0,1,6,2000,0
2000-01-02,高雄市,F1 雜柑 檸檬 ,20.0,15.2,10.0,15.1,0.0,1410.0,-18.97,1,7,2000,0
2000-01-03,高雄市,F1 雜柑 檸檬 ,15.0,13.9,10.0,13.4,-11.26,164.0,-88.37,1,1,2000,0
2000-01-04,高雄市,F1 雜柑 檸檬 ,20.0,15.4,10.0,15.3,14.18,1900.0,1058.54,1,2,2000,0
2000-01-05,高雄市,F1 雜柑 檸檬 ,20.0,15.0,10.0,15.0,-1.96,700.0,-63.16,1,3,2000,0
2000-01-06,高雄市,F1 雜柑 檸檬 ,20.0,16.2,10.0,15.7,4.67,700.0,0.0,1,4,2000,0
2000-01-07,高雄市,F1 雜柑 檸檬 ,20.0,15.3,10.0,15.2,-3.18,1650.0,135.71,1,5,2000,0
2000-01-08,高雄市,F1 雜柑 檸檬 ,20.0,15.6,10.0,15.4,1.32,650.0,-60.61,1,6,2000,0
2000-01-09,高雄市,F1 雜柑 檸檬 ,,,,,,,,1,7,2000,1
2000-01-10,高雄市,F1 雜柑 檸檬 ,20.0,14.8,10.0,14.9,-3.25,2940.0,352.31,1,1,2000,0
2000-01-11,高雄市,F1 雜柑 檸檬 ,20.0,15.3,10.0,15.2,2.01,1840.0,-37.41,1,2,2000,0
2000-01-12,高雄市,F1 雜柑 檸檬 ,21.8,15.9,10.0,15.9,4.61,2241.0,21.79,1,3,2000,0
2000-01-13,高雄市,F1 雜柑 檸檬 ,20.0,14.6,8.1,14.4,-9.43,1440.0,-35.74,1,4,2000,0
2000-01-14,高雄市,F1 雜柑 檸檬 ,25.0,19.3,10.0,18.6,29.17,1502.0,4.31,1,5,2000,0
2000-01-15,高雄市,F1 雜柑 檸檬 ,25.0,20.0,12.0,19.4,4.3,1210.0,-19.44,1,6,2000,0
2000-01-16,高雄市,F1 雜柑 檸檬 ,25.0,20.8,12.0,19.9,2.58,1920.0,58.68,1,7,2000,0
2000-01-17,高雄市,F1 雜柑 檸檬 ,25.0,17.5,10.0,17.5,-12.06,1000.0,-47.92,1,1,2000,0
2000-01-18,高雄市,F1 雜柑 檸檬 ,25.0,16.7,7.7,16.6,-5.14,1270.0,27.0,1,2,2000,0
2000-01-19,高雄市,F1 雜柑 檸檬 ,25.0,20.9,12.0,20.0,20.48,1410.0,11.02,1,3,2000,0
2000-01-20,高雄市,F1 雜柑 檸檬 ,25.0,19.9,12.0,19.3,-3.5,1310.0,-7.09,1,4,2000,0
2000-01-21,高雄市,F1 雜柑 檸檬 ,25.0,20.0,11.7,19.4,0.52,789.0,-39.77,1,5,2000,0
2000-01-22,高雄市,F1 雜柑 檸檬 ,25.0,19.6,12.0,19.1,-1.55,1330.0,68.57,1,6,2000,0
2000-01-23,高雄市,F1 雜柑 檸檬 ,,,,,,,,1,7,2000,1
2000-01-24,高雄市,F1 雜柑 檸檬 ,30.0,20.4,9.6,20.2,5.76,2460.0,84.96,1,1,2000,0
2000-01-25,高雄市,F1 雜柑 檸檬 ,30.0,18.6,7.1,18.6,-7.92,1516.0,-38.37,1,2,2000,0
2000-01-26,高雄市,F1 雜柑 檸檬 ,27.7,20.1,15.7,20.8,11.83,1840.0,21.37,1,3,2000,0
2000-01-27,高雄市,F1 雜柑 檸檬 ,28.7,19.4,12.0,19.8,-4.81,670.0,-63.59,1,4,2000,0
2000-01-28,高雄市,F1 雜柑 檸檬 ,30.0,23.6,15.0,23.2,17.17,1510.0,125.37,1,5,2000,0
2000-01-29,高雄市,F1 雜柑 檸檬 ,30.0,23.6,15.0,23.2,0.0,1560.0,3.31,1,6,2000,0
2000-01-30,高雄市,F1 雜柑 檸檬 ,30.0,22.5,15.0,22.5,-3.02,400.0,-74.36,1,7,2000,0
2000-01-31,高雄市,F1 雜柑 檸檬 ,30.0,24.4,13.4,23.3,3.56,2020.0,405.0,1,1,2000,0
2000-02-01,高雄市,F1 雜柑 檸檬 ,30.0,25.1,15.0,24.1,3.43,2400.0,18.81,2,2,2000,0
