Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2012-05-08,台北一,74 小番茄 玉女 ,316.4,179.1,100.6,190.9,,3810.0,,5,2,2012,0
2012-05-09,台北一,74 小番茄 玉女 ,306.0,177.4,101.8,188.0,-1.52,3714.0,-2.52,5,3,2012,0
2012-05-10,台北一,74 小番茄 玉女 ,268.5,149.6,74.4,158.3,-15.8,4328.0,16.53,5,4,2012,0
2012-05-11,台北一,74 小番茄 玉女 ,269.7,146.3,69.1,155.5,-1.77,3950.0,-8.73,5,5,2012,0
2012-05-12,台北一,74 小番茄 玉女 ,270.3,151.5,65.6,158.1,1.67,3696.0,-6.43,5,6,2012,0
2012-05-13,台北一,74 小番茄 玉女 ,273.4,153.9,77.0,162.4,2.72,3342.0,-9.58,5,7,2012,0
2012-05-14,台北一,74 小番茄 玉女 ,,,,,,,,5,1,2012,1
2012-05-15,台北一,74 小番茄 玉女 ,279.4,173.1,101.2,180.0,10.84,2658.0,-20.47,5,2,2012,0
2012-05-16,台北一,74 小番茄 玉女 ,259.2,169.3,90.1,171.4,-4.78,3538.0,33.11,5,3,2012,0
2012-05-17,台北一,74 小番茄 玉女 ,263.6,151.0,70.3,157.4,-8.17,3480.0,-1.64,5,4,2012,0
2012-05-18,台北一,74 小番茄 玉女 ,258.9,158.4,79.5,162.7,3.37,3229.0,-7.21,5,5,2012,0
2012-05-19,台北一,74 小番茄 玉女 ,254.2,145.4,75.4,153.2,-5.84,4069.0,26.01,5,6,2012,0
2012-05-20,台北一,74 小番茄 玉女 ,248.6,142.5,71.0,149.4,-2.48,4182.0,2.78,5,7,2012,0
2012-05-21,台北一,74 小番茄 玉女 ,,,,,,,,5,1,2012,1
2012-05-22,台北一,74 小番茄 玉女 ,242.7,154.0,87.2,158.4,6.02,2854.0,-31.76,5,2,2012,0
2012-05-23,台北一,74 小番茄 玉女 ,249.2,152.6,74.4,156.3,-1.33,3144.0,10.16,5,3,2012,0
2012-05-24,台北一,74 小番茄 玉女 ,236.1,138.3,70.7,144.4,-7.61,3258.0,3.63,5,4,2012,0
2012-05-25,台北一,74 小番茄 玉女 ,249.2,143.8,77.1,151.5,4.92,2657.0,-18.45,5,5,2012,0
2012-05-26,台北一,74 小番茄 玉女 ,232.4,145.8,64.2,146.8,-3.1,2256.0,-15.09,5,6,2012,0
2012-05-27,台北一,74 小番茄 玉女 ,233.0,129.5,64.0,137.1,-6.61,2522.0,11.79,5,7,2012,0
2012-05-28,台北一,74 小番茄 玉女 ,,,,,,,,5,1,2012,1
2012-05-29,台北一,74 小番茄 玉女 ,244.1,137.4,74.2,146.1,6.56,2132.0,-15.46,5,2,2012,0
2012-05-30,台北一,74 小番茄 玉女 ,255.6,149.2,74.2,155.5,6.43,1685.0,-20.97,5,3,2012,0
2012-05-31,台北一,74 小番茄 玉女 ,254.4,136.8,71.0,147.1,-5.4,1642.0,-2.55,5,4,2012,0
2012-06-01,台北一,74 小番茄 玉女 ,246.7,152.1,73.9,155.4,5.64,1751.0,6.64,6,5,2012,0
2012-06-02,台北一,74 小番茄 玉女 ,234.9,143.3,83.2,149.6,-3.73,1620.0,-7.48,6,6,2012,0
2012-06-03,台北一,74 小番茄 玉女 ,266.0,167.3,103.2,174.2,16.44,1245.0,-23.15,6,7,2012,0
2012-06-04,台北一,74 小番茄 玉女 ,,,,,,,,6,1,2012,1
2012-06-05,台北一,74 小番茄 玉女 ,237.7,148.4,82.0,153.0,-12.17,1246.0,0.08,6,2,2012,0
2012-06-06,台北一,74 小番茄 玉女 ,267.2,177.7,104.1,180.9,18.24,1566.0,25.68,6,3,2012,0
2012-06-07,台北一,74 小番茄 玉女 ,257.4,163.1,85.9,166.5,-7.96,1500.0,-4.21,6,4,2012,0
2012-06-08,台北一,74 小番茄 玉女 ,233.1,161.6,85.7,160.7,-3.48,1881.0,25.4,6,5,2012,0
2012-06-09,台北一,74 小番茄 玉女 ,226.6,166.8,103.7,166.1,3.36,1920.0,2.07,6,6,2012,0
2012-06-10,台北一,74 小番茄 玉女 ,223.6,165.2,81.9,160.2,-3.55,1591.0,-17.14,6,7,2012,0
2012-06-11,台北一,74 小番茄 玉女 ,,,,,,,,6,1,2012,1
2012-06-12,台北一,74 小番茄 玉女 ,237.4,170.2,76.5,164.9,2.93,1633.0,2.64,6,2,2012,0
2012-06-13,台北一,74 小番茄 玉女 ,231.2,181.3,109.0,176.8,7.22,1261.0,-22.78,6,3,2012,0
2012-06-14,台北一,74 小番茄 玉女 ,244.0,175.4,117.5,177.5,0.4,1512.0,19.9,6,4,2012,0
2012-06-15,台北一,74 小番茄 玉女 ,258.9,182.1,116.9,184.4,3.89,1459.0,-3.51,6,5,2012,0
2012-06-16,台北一,74 小番茄 玉女 ,258.5,169.4,111.5,175.6,-4.77,1566.0,7.33,6,6,2012,0
2012-06-17,台北一,74 小番茄 玉女 ,247.2,165.8,123.4,173.6,-1.14,1038.0,-33.72,6,7,2012,0
2012-06-18,台北一,74 小番茄 玉女 ,,,,,,,,6,1,2012,1
2012-06-19,台北一,74 小番茄 玉女 ,254.7,150.3,92.0,159.5,-8.12,862.0,-16.96,6,2,2012,0
2012-06-20,台北一,74 小番茄 玉女 ,283.0,168.1,117.1,180.8,13.35,690.0,-19.95,6,3,2012,0
2012-06-21,台北一,74 小番茄 玉女 ,234.7,186.2,136.7,186.0,2.88,858.0,24.35,6,4,2012,0
2012-06-22,台北一,74 小番茄 玉女 ,254.2,177.4,125.6,182.4,-1.94,528.0,-38.46,6,5,2012,0
2012-06-23,台北一,74 小番茄 玉女 ,258.2,148.7,75.3,156.0,-14.47,1128.0,113.64,6,6,2012,0
2012-06-24,台北一,74 小番茄 玉女 ,,,,,,,,6,7,2012,1
2012-06-25,台北一,74 小番茄 玉女 ,,,,,,,,6,1,2012,1
2012-06-26,台北一,74 小番茄 玉女 ,267.6,186.6,110.1,187.5,20.19,1224.0,8.51,6,2,2012,0
2012-06-27,台北一,74 小番茄 玉女 ,243.6,151.1,102.3,159.8,-14.77,940.0,-23.2,6,3,2012,0
2012-06-28,台北一,74 小番茄 玉女 ,239.7,135.3,68.4,142.8,-10.64,746.0,-20.64,6,4,2012,0
2012-06-29,台北一,74 小番茄 玉女 ,259.2,160.5,103.6,168.9,18.28,582.0,-21.98,6,5,2012,0
2012-06-30,台北一,74 小番茄 玉女 ,247.7,155.4,76.1,158.0,-6.45,768.0,31.96,6,6,2012,0
2012-07-01,台北一,74 小番茄 玉女 ,251.4,176.7,89.1,174.1,10.19,490.0,-36.2,7,7,2012,0
2012-07-02,台北一,74 小番茄 玉女 ,,,,,,,,7,1,2012,1
2012-07-03,台北一,74 小番茄 玉女 ,271.5,165.9,85.2,170.9,-1.84,544.0,11.02,7,2,2012,0
2012-07-04,台北一,74 小番茄 玉女 ,267.9,165.6,124.0,177.7,3.98,828.0,52.21,7,3,2012,0
2012-07-05,台北一,74 小番茄 玉女 ,256.7,165.6,101.1,170.9,-3.83,630.0,-23.91,7,4,2012,0
2012-07-06,台北一,74 小番茄 玉女 ,256.9,170.6,87.7,171.3,0.23,618.0,-1.9,7,5,2012,0
2012-07-07,台北一,74 小番茄 玉女 ,262.2,162.1,54.2,160.6,-6.25,736.0,19.09,7,6,2012,0
2012-07-08,台北一,74 小番茄 玉女 ,266.6,150.1,75.5,158.5,-1.31,792.0,7.61,7,7,2012,0
2012-07-09,台北一,74 小番茄 玉女 ,,,,,,,,7,1,2012,1
2012-07-10,台北一,74 小番茄 玉女 ,259.1,159.6,73.3,162.2,2.33,834.0,5.3,7,2,2012,0
2012-07-11,台北一,74 小番茄 玉女 ,271.6,169.4,63.4,168.6,3.95,898.0,7.67,7,3,2012,0
2012-07-12,台北一,74 小番茄 玉女 ,275.9,176.7,66.0,174.4,3.44,672.0,-25.17,7,4,2012,0
2012-07-13,台北一,74 小番茄 玉女 ,267.1,175.6,67.4,172.3,-1.2,672.0,0.0,7,5,2012,0
2012-07-14,台北一,74 小番茄 玉女 ,273.7,191.6,85.7,186.8,8.42,807.0,20.09,7,6,2012,0
2012-07-15,台北一,74 小番茄 玉女 ,271.5,145.8,67.7,155.3,-16.86,756.0,-6.32,7,7,2012,0
2012-07-16,台北一,74 小番茄 玉女 ,,,,,,,,7,1,2012,1
2012-07-17,台北一,74 小番茄 玉女 ,273.5,191.8,53.9,180.6,16.29,566.0,-25.13,7,2,2012,0
2012-07-18,台北一,74 小番茄 玉女 ,282.0,148.2,59.5,157.2,-12.96,656.0,15.9,7,3,2012,0
2012-07-19,台北一,74 小番茄 玉女 ,288.0,185.7,65.6,182.2,15.9,564.0,-14.02,7,4,2012,0
2012-07-20,台北一,74 小番茄 玉女 ,275.1,221.9,134.8,215.1,18.06,480.0,-14.89,7,5,2012,0
2012-07-21,台北一,74 小番茄 玉女 ,279.4,186.3,97.5,187.2,-12.97,690.0,43.75,7,6,2012,0
2012-07-22,台北一,74 小番茄 玉女 ,207.8,144.1,74.4,142.9,-23.66,894.0,29.57,7,7,2012,0
2012-07-23,台北一,74 小番茄 玉女 ,,,,,,,,7,1,2012,1
2012-07-24,台北一,74 小番茄 玉女 ,282.4,178.2,73.0,178.0,24.56,715.0,-20.02,7,2,2012,0
2012-07-25,台北一,74 小番茄 玉女 ,264.9,208.6,105.3,199.2,11.91,491.0,-31.33,7,3,2012,0
2012-07-26,台北一,74 小番茄 玉女 ,260.0,189.8,72.9,180.5,-9.39,696.0,41.75,7,4,2012,0
2012-07-27,台北一,74 小番茄 玉女 ,262.1,157.7,58.7,158.8,-12.02,558.0,-19.83,7,5,2012,0
2012-07-28,台北一,74 小番茄 玉女 ,255.9,177.3,93.6,176.3,11.02,588.0,5.38,7,6,2012,0
2012-07-29,台北一,74 小番茄 玉女 ,268.4,164.7,76.7,167.8,-4.82,622.0,5.78,7,7,2012,0
2012-07-30,台北一,74 小番茄 玉女 ,,,,,,,,7,1,2012,1
2012-07-31,台北一,74 小番茄 玉女 ,275.6,187.3,122.7,192.0,14.42,810.0,30.23,7,2,2012,0
2012-08-01,台北一,74 小番茄 玉女 ,278.2,202.4,112.5,199.6,3.96,714.0,-11.85,8,3,2012,0
2012-08-02,台北一,74 小番茄 玉女 ,238.5,148.4,92.1,155.1,-22.29,630.0,-11.76,8,4,2012,0
2012-08-03,台北一,74 小番茄 玉女 ,350.0,350.0,350.0,350.0,125.66,36.0,-94.29,8,5,2012,0
2012-08-04,台北一,74 小番茄 玉女 ,283.7,188.5,117.7,193.4,-44.74,582.0,1516.67,8,6,2012,0
2012-08-05,台北一,74 小番茄 玉女 ,280.6,197.7,119.9,198.7,2.74,600.0,3.09,8,7,2012,0
2012-08-06,台北一,74 小番茄 玉女 ,,,,,,,,8,1,2012,1
