Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-01,高雄市,FB11 花椰菜 青梗 留梗柄,37.7,22.4,16.5,24.3,-9.0,2962.0,-27.0,1,6,2000,0
2000-01-02,高雄市,FB11 花椰菜 青梗 留梗柄,32.1,22.1,11.4,21.9,-9.88,5984.0,102.03,1,7,2000,0
2000-01-03,高雄市,FB11 花椰菜 青梗 留梗柄,27.6,17.7,9.5,18.0,-17.81,4801.0,-19.77,1,1,2000,0
2000-01-04,高雄市,FB11 花椰菜 青梗 留梗柄,25.0,19.8,9.4,18.7,3.89,4670.0,-2.73,1,2,2000,0
2000-01-05,高雄市,FB11 花椰菜 青梗 留梗柄,27.9,20.4,8.2,19.5,4.28,4714.0,0.94,1,3,2000,0
2000-01-06,高雄市,FB11 花椰菜 青梗 留梗柄,25.0,21.0,12.0,20.0,2.56,4769.0,1.17,1,4,2000,0
2000-01-07,高雄市,FB11 花椰菜 青梗 留梗柄,25.7,19.8,10.4,19.1,-4.5,4020.0,-15.71,1,5,2000,0
2000-01-08,高雄市,FB11 花椰菜 青梗 留梗柄,25.8,20.2,10.8,19.5,2.09,3552.0,-11.64,1,6,2000,0
2000-01-09,高雄市,FB11 花椰菜 青梗 留梗柄,,,,,,,,1,7,2000,1
2000-01-10,高雄市,FB11 花椰菜 青梗 留梗柄,24.6,18.3,10.5,18.0,-7.69,3620.0,1.91,1,1,2000,0
2000-01-11,高雄市,FB11 花椰菜 青梗 留梗柄,24.9,19.2,13.8,19.3,7.22,3916.0,8.18,1,2,2000,0
2000-01-12,高雄市,FB11 花椰菜 青梗 留梗柄,22.2,18.1,10.3,17.4,-9.84,3690.0,-5.77,1,3,2000,0
2000-01-13,高雄市,FB11 花椰菜 青梗 留梗柄,22.3,19.5,11.1,18.4,5.75,3880.0,5.15,1,4,2000,0
2000-01-14,高雄市,FB11 花椰菜 青梗 留梗柄,21.6,15.7,6.4,15.0,-18.48,5555.0,43.17,1,5,2000,0
2000-01-15,高雄市,FB11 花椰菜 青梗 留梗柄,24.0,18.8,11.9,18.4,22.67,6195.0,11.52,1,6,2000,0
2000-01-16,高雄市,FB11 花椰菜 青梗 留梗柄,25.0,17.5,8.3,17.1,-7.07,4496.0,-27.43,1,7,2000,0
2000-01-17,高雄市,FB11 花椰菜 青梗 留梗柄,30.0,17.0,7.4,17.7,3.51,8427.0,87.43,1,1,2000,0
2000-01-18,高雄市,FB11 花椰菜 青梗 留梗柄,23.0,18.2,8.0,17.1,-3.39,5816.0,-30.98,1,2,2000,0
2000-01-19,高雄市,FB11 花椰菜 青梗 留梗柄,25.2,14.8,9.2,15.7,-8.19,4850.0,-16.61,1,3,2000,0
2000-01-20,高雄市,FB11 花椰菜 青梗 留梗柄,23.6,16.0,6.1,15.5,-1.27,5620.0,15.88,1,4,2000,0
2000-01-21,高雄市,FB11 花椰菜 青梗 留梗柄,24.8,15.1,6.9,15.4,-0.65,4181.0,-25.6,1,5,2000,0
2000-01-22,高雄市,FB11 花椰菜 青梗 留梗柄,23.1,18.0,8.3,17.0,10.39,6504.0,55.56,1,6,2000,0
2000-01-23,高雄市,FB11 花椰菜 青梗 留梗柄,,,,,,,,1,7,2000,1
2000-01-24,高雄市,FB11 花椰菜 青梗 留梗柄,29.9,20.8,9.9,20.4,20.0,4803.0,-26.15,1,1,2000,0
2000-01-25,高雄市,FB11 花椰菜 青梗 留梗柄,21.9,15.6,8.0,15.4,-24.51,5130.0,6.81,1,2,2000,0
2000-01-26,高雄市,FB11 花椰菜 青梗 留梗柄,25.0,18.2,6.0,17.1,11.04,5350.0,4.29,1,3,2000,0
2000-01-27,高雄市,FB11 花椰菜 青梗 留梗柄,20.0,17.5,6.3,15.7,-8.19,6006.0,12.26,1,4,2000,0
2000-01-28,高雄市,FB11 花椰菜 青梗 留梗柄,20.0,10.0,9.1,17.0,8.28,7490.0,24.71,1,5,2000,0
2000-01-29,高雄市,FB11 花椰菜 青梗 留梗柄,23.9,20.0,13.8,19.5,14.71,4325.0,-42.26,1,6,2000,0
2000-01-30,高雄市,FB11 花椰菜 青梗 留梗柄,21.2,18.6,11.6,17.7,-9.23,4230.0,-2.2,1,7,2000,0
2000-01-31,高雄市,FB11 花椰菜 青梗 留梗柄,21.0,19.6,13.7,18.7,5.65,5005.0,18.32,1,1,2000,0
2000-02-01,高雄市,FB11 花椰菜 青梗 留梗柄,23.3,20.0,15.0,19.7,5.35,4166.0,-16.76,2,2,2000,0
2000-02-02,高雄市,FB11 花椰菜 青梗 留梗柄,24.3,19.1,13.2,19.0,-3.55,4170.0,0.1,2,3,2000,0
2000-02-03,高雄市,FB11 花椰菜 青梗 留梗柄,25.0,21.6,16.5,21.3,12.11,4310.0,3.36,2,4,2000,0
