Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-01,高雄市,FD1 花胡瓜  ,70.0,61.3,35.5,57.8,-8.0,930.0,39.0,1,6,2000,0
2000-01-02,高雄市,FD1 花胡瓜  ,47.5,32.7,14.4,32.0,-44.64,1330.0,43.01,1,7,2000,0
2000-01-03,高雄市,FD1 花胡瓜  ,40.0,34.5,27.1,34.1,6.56,850.0,-36.09,1,1,2000,0
2000-01-04,高雄市,FD1 花胡瓜  ,40.0,32.9,23.7,32.5,-4.69,1470.0,72.94,1,2,2000,0
2000-01-05,高雄市,FD1 花胡瓜  ,40.0,32.6,23.2,32.2,-0.92,1330.0,-9.52,1,3,2000,0
2000-01-06,高雄市,FD1 花胡瓜  ,40.0,33.9,26.1,33.5,4.04,1155.0,-13.16,1,4,2000,0
2000-01-07,高雄市,FD1 花胡瓜  ,53.2,38.2,17.0,37.0,10.45,1555.0,34.63,1,5,2000,0
2000-01-08,高雄市,FD1 花胡瓜  ,54.6,35.7,23.8,37.1,0.27,1080.0,-30.55,1,6,2000,0
2000-01-09,高雄市,FD1 花胡瓜  ,,,,,,,,1,7,2000,1
2000-01-10,高雄市,FD1 花胡瓜  ,56.2,41.9,24.2,41.2,11.05,1130.0,4.63,1,1,2000,0
2000-01-11,高雄市,FD1 花胡瓜  ,54.4,31.2,21.4,33.9,-17.72,1141.0,0.97,1,2,2000,0
2000-01-12,高雄市,FD1 花胡瓜  ,54.2,39.7,19.8,38.6,13.86,1182.0,3.59,1,3,2000,0
2000-01-13,高雄市,FD1 花胡瓜  ,55.7,33.7,18.2,35.0,-9.33,955.0,-19.2,1,4,2000,0
2000-01-14,高雄市,FD1 花胡瓜  ,60.0,31.4,17.8,34.4,-1.71,1282.0,34.24,1,5,2000,0
2000-01-15,高雄市,FD1 花胡瓜  ,41.2,24.3,13.9,25.6,-25.58,1556.0,21.37,1,6,2000,0
