Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-01,高雄市,LD1 青江白菜 小梗 ,35.0,25.5,4.3,23.2,-6.0,1530.0,2.0,1,6,2000,0
2000-01-02,高雄市,LD1 青江白菜 小梗 ,32.7,22.7,8.0,21.8,-6.03,1465.0,-4.25,1,7,2000,0
2000-01-03,高雄市,LD1 青江白菜 小梗 ,34.1,24.2,12.7,23.9,9.63,1495.0,2.05,1,1,2000,0
2000-01-04,高雄市,LD1 青江白菜 小梗 ,34.8,24.3,7.5,23.0,-3.77,965.0,-35.45,1,2,2000,0
2000-01-05,高雄市,LD1 青江白菜 小梗 ,31.3,22.0,8.9,21.2,-7.83,1380.0,43.01,1,3,2000,0
2000-01-06,高雄市,LD1 青江白菜 小梗 ,24.3,17.3,9.8,17.2,-18.87,2032.0,47.25,1,4,2000,0
2000-01-07,高雄市,LD1 青江白菜 小梗 ,23.7,15.1,9.0,15.6,-9.3,2645.0,30.17,1,5,2000,0
2000-01-08,高雄市,LD1 青江白菜 小梗 ,21.5,16.0,10.6,16.0,2.56,3320.0,25.52,1,6,2000,0
2000-01-09,高雄市,LD1 青江白菜 小梗 ,,,,,,,,1,7,2000,1
2000-01-10,高雄市,LD1 青江白菜 小梗 ,19.8,15.1,8.4,14.7,-8.13,4040.0,21.69,1,1,2000,0
2000-01-11,高雄市,LD1 青江白菜 小梗 ,20.0,17.9,10.2,16.8,14.29,2896.0,-28.32,1,2,2000,0
2000-01-12,高雄市,LD1 青江白菜 小梗 ,18.8,14.2,3.8,13.0,-22.62,2610.0,-9.88,1,3,2000,0
2000-01-13,高雄市,LD1 青江白菜 小梗 ,16.7,14.5,6.7,13.4,3.08,2670.0,2.3,1,4,2000,0
2000-01-14,高雄市,LD1 青江白菜 小梗 ,16.4,13.5,8.1,13.0,-2.99,2940.0,10.11,1,5,2000,0
2000-01-15,高雄市,LD1 青江白菜 小梗 ,15.1,13.3,5.0,12.0,-7.69,3710.0,26.19,1,6,2000,0
2000-01-16,高雄市,LD1 青江白菜 小梗 ,16.1,14.2,6.8,13.1,9.17,6160.0,66.04,1,7,2000,0
2000-01-17,高雄市,LD1 青江白菜 小梗 ,15.1,14.5,5.3,12.8,-2.29,5315.0,-13.72,1,1,2000,0
2000-01-18,高雄市,LD1 青江白菜 小梗 ,15.0,13.7,9.2,13.1,2.34,6420.0,20.79,1,2,2000,0
2000-01-19,高雄市,LD1 青江白菜 小梗 ,15.0,13.6,8.1,12.8,-2.29,5550.0,-13.55,1,3,2000,0
2000-01-20,高雄市,LD1 青江白菜 小梗 ,15.0,13.1,4.2,11.7,-8.59,6295.0,13.42,1,4,2000,0
2000-01-21,高雄市,LD1 青江白菜 小梗 ,15.5,14.1,5.6,12.7,8.55,4640.0,-26.29,1,5,2000,0
2000-01-22,高雄市,LD1 青江白菜 小梗 ,15.0,11.6,8.1,11.6,-8.66,4900.0,5.6,1,6,2000,0
2000-01-23,高雄市,LD1 青江白菜 小梗 ,,,,,,,,1,7,2000,1
2000-01-24,高雄市,LD1 青江白菜 小梗 ,15.1,12.4,4.5,11.4,-1.72,6350.0,29.59,1,1,2000,0
2000-01-25,高雄市,LD1 青江白菜 小梗 ,14.5,11.5,8.2,11.4,0.0,7190.0,13.23,1,2,2000,0
2000-01-26,高雄市,LD1 青江白菜 小梗 ,14.1,12.4,10.4,12.3,7.89,5090.0,-29.21,1,3,2000,0
2000-01-27,高雄市,LD1 青江白菜 小梗 ,14.2,12.4,8.4,11.9,-3.25,4906.0,-3.61,1,4,2000,0
2000-01-28,高雄市,LD1 青江白菜 小梗 ,15.0,13.0,6.2,12.0,0.84,5482.0,11.74,1,5,2000,0
2000-01-29,高雄市,LD1 青江白菜 小梗 ,14.5,11.9,5.8,11.2,-6.67,6100.0,11.27,1,6,2000,0
2000-01-30,高雄市,LD1 青江白菜 小梗 ,15.1,12.9,8.0,12.4,10.71,6605.0,8.28,1,7,2000,0
2000-01-31,高雄市,LD1 青江白菜 小梗 ,15.0,12.6,8.0,12.2,-1.61,6270.0,-5.07,1,1,2000,0
2000-02-01,高雄市,LD1 青江白菜 小梗 ,14.6,12.6,5.5,11.6,-4.92,6920.0,10.37,2,2,2000,0
2000-02-02,高雄市,LD1 青江白菜 小梗 ,15.0,13.2,5.9,12.1,4.31,7930.0,14.6,2,3,2000,0
2000-02-03,高雄市,LD1 青江白菜 小梗 ,15.0,13.7,3.2,11.8,-2.48,5700.0,-28.12,2,4,2000,0
2000-02-04,高雄市,LD1 青江白菜 小梗 ,15.0,13.6,8.9,12.9,9.32,3230.0,-43.33,2,5,2000,0
2000-02-05,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,6,2000,1
2000-02-06,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,7,2000,1
2000-02-07,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,1,2000,1
2000-02-08,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,2,2000,1
2000-02-09,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,3,2000,1
2000-02-10,高雄市,LD1 青江白菜 小梗 ,15.0,13.0,7.2,12.2,-5.43,4640.0,43.65,2,4,2000,0
2000-02-11,高雄市,LD1 青江白菜 小梗 ,14.5,12.3,3.5,11.0,-9.84,5395.0,16.27,2,5,2000,0
2000-02-12,高雄市,LD1 青江白菜 小梗 ,14.4,11.4,2.0,10.1,-8.18,6820.0,26.41,2,6,2000,0
2000-02-13,高雄市,LD1 青江白菜 小梗 ,13.4,12.3,4.7,11.0,8.91,6965.0,2.13,2,7,2000,0
2000-02-14,高雄市,LD1 青江白菜 小梗 ,14.5,12.5,9.3,12.2,10.91,7100.0,1.94,2,1,2000,0
2000-02-15,高雄市,LD1 青江白菜 小梗 ,14.1,12.6,9.0,12.2,0.0,4110.0,-42.11,2,2,2000,0
2000-02-16,高雄市,LD1 青江白菜 小梗 ,14.6,12.5,9.7,12.4,1.64,7187.0,74.87,2,3,2000,0
2000-02-17,高雄市,LD1 青江白菜 小梗 ,13.9,12.3,8.6,11.9,-4.03,7520.0,4.63,2,4,2000,0
2000-02-18,高雄市,LD1 青江白菜 小梗 ,13.2,12.4,6.1,11.3,-5.04,6295.0,-16.29,2,5,2000,0
2000-02-19,高雄市,LD1 青江白菜 小梗 ,13.5,12.7,7.7,11.9,5.31,5120.0,-18.67,2,6,2000,0
2000-02-20,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,7,2000,1
2000-02-21,高雄市,LD1 青江白菜 小梗 ,,,,,,,,2,1,2000,1
2000-02-22,高雄市,LD1 青江白菜 小梗 ,15.0,13.2,12.0,13.3,11.76,5580.0,8.98,2,2,2000,0
2000-02-23,高雄市,LD1 青江白菜 小梗 ,16.9,13.0,11.6,13.5,1.5,3780.0,-32.26,2,3,2000,0
2000-02-24,高雄市,LD1 青江白菜 小梗 ,16.5,13.1,9.2,13.0,-3.7,7160.0,89.42,2,4,2000,0
2000-02-25,高雄市,LD1 青江白菜 小梗 ,16.1,12.8,7.7,12.4,-4.62,6858.0,-4.22,2,5,2000,0
2000-02-26,高雄市,LD1 青江白菜 小梗 ,17.7,12.7,11.0,13.3,7.26,5440.0,-20.68,2,6,2000,0
2000-02-27,高雄市,LD1 青江白菜 小梗 ,20.1,13.8,10.6,14.4,8.27,5250.0,-3.49,2,7,2000,0
2000-02-28,高雄市,LD1 青江白菜 小梗 ,25.2,16.4,10.2,16.9,17.36,5512.0,4.99,2,1,2000,0
