Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-01,高雄市,LC1 包心白 包白 ,16.6,11.4,7.8,11.7,-2.0,10560.0,-34.0,1,6,2000,0
2000-01-02,高雄市,LC1 包心白 包白 ,20.3,11.8,7.4,12.6,7.69,10955.0,3.74,1,7,2000,0
2000-01-03,高雄市,LC1 包心白 包白 ,16.7,11.9,7.7,12.0,-4.76,8830.0,-19.4,1,1,2000,0
2000-01-04,高雄市,LC1 包心白 包白 ,16.3,11.8,7.5,11.9,-0.83,11360.0,28.65,1,2,2000,0
2000-01-05,高雄市,LC1 包心白 包白 ,15.6,11.3,6.5,11.2,-5.88,12540.0,10.39,1,3,2000,0
2000-01-06,高雄市,LC1 包心白 包白 ,13.8,11.3,6.1,10.8,-3.57,11335.0,-9.61,1,4,2000,0
2000-01-07,高雄市,LC1 包心白 包白 ,15.5,9.9,4.0,9.9,-8.33,9945.0,-12.26,1,5,2000,0
2000-01-08,高雄市,LC1 包心白 包白 ,14.9,11.0,6.0,10.8,9.09,11895.0,19.61,1,6,2000,0
2000-01-09,高雄市,LC1 包心白 包白 ,,,,,,,,1,7,2000,1
2000-01-10,高雄市,LC1 包心白 包白 ,14.3,11.0,6.5,10.8,0.0,11245.0,-5.46,1,1,2000,0
2000-01-11,高雄市,LC1 包心白 包白 ,13.2,9.1,4.6,9.0,-16.67,21290.0,89.33,1,2,2000,0
2000-01-12,高雄市,LC1 包心白 包白 ,14.7,8.7,3.5,8.9,-1.11,6910.0,-67.54,1,3,2000,0
2000-01-13,高雄市,LC1 包心白 包白 ,13.0,7.3,4.1,7.8,-12.36,12003.0,73.7,1,4,2000,0
2000-01-14,高雄市,LC1 包心白 包白 ,15.0,10.8,4.2,10.3,32.05,10464.0,-12.82,1,5,2000,0
2000-01-15,高雄市,LC1 包心白 包白 ,13.6,7.1,3.1,7.6,-26.21,12515.0,19.6,1,6,2000,0
2000-01-16,高雄市,LC1 包心白 包白 ,15.0,9.0,4.6,9.3,22.37,8060.0,-35.6,1,7,2000,0
2000-01-17,高雄市,LC1 包心白 包白 ,15.0,8.9,4.7,9.3,0.0,11550.0,43.3,1,1,2000,0
