Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2006-01-01,高雄市,FJ3 番茄 牛蕃茄 ,24.9,19.0,12.2,18.8,,1395.0,,1,7,2006,0
2006-01-02,高雄市,FJ3 番茄 牛蕃茄 ,,,,,,,,1,1,2006,1
2006-01-03,高雄市,FJ3 番茄 牛蕃茄 ,28.0,22.8,20.0,23.3,23.94,640.0,-54.12,1,2,2006,0
2006-01-04,高雄市,FJ3 番茄 牛蕃茄 ,30.0,23.0,19.0,23.6,1.29,590.0,-7.81,1,3,2006,0
2006-01-05,高雄市,FJ3 番茄 牛蕃茄 ,25.0,19.9,11.8,19.3,-18.22,1115.0,88.98,1,4,2006,0
2006-01-06,高雄市,FJ3 番茄 牛蕃茄 ,22.0,18.1,11.9,17.6,-8.81,832.0,-25.38,1,5,2006,0
2006-01-07,高雄市,FJ3 番茄 牛蕃茄 ,24.3,19.8,15.5,19.8,12.5,950.0,14.18,1,6,2006,0
2006-01-08,高雄市,FJ3 番茄 牛蕃茄 ,22.0,17.3,14.0,17.6,-11.11,580.0,-38.95,1,7,2006,0
2006-01-09,高雄市,FJ3 番茄 牛蕃茄 ,,,,,,,,1,1,2006,1
2006-01-10,高雄市,FJ3 番茄 牛蕃茄 ,19.9,11.2,5.6,11.8,-32.95,358.0,-38.28,1,2,2006,0
2006-01-11,高雄市,FJ3 番茄 牛蕃茄 ,24.9,19.9,6.7,18.3,55.08,515.0,43.85,1,3,2006,0
2006-01-12,高雄市,FJ3 番茄 牛蕃茄 ,26.0,13.9,4.9,14.5,-20.77,1310.0,154.37,1,4,2006,0
2006-01-13,高雄市,FJ3 番茄 牛蕃茄 ,22.6,5.7,2.0,8.4,-42.07,1414.0,7.94,1,5,2006,0
2006-01-14,高雄市,FJ3 番茄 牛蕃茄 ,24.5,11.3,2.8,12.3,46.43,1386.0,-1.98,1,6,2006,0
2006-01-15,高雄市,FJ3 番茄 牛蕃茄 ,24.3,13.2,4.2,13.7,11.38,2070.0,49.35,1,7,2006,0
2006-01-16,高雄市,FJ3 番茄 牛蕃茄 ,,,,,,,,1,1,2006,1
2006-01-17,高雄市,FJ3 番茄 牛蕃茄 ,15.0,7.6,2.9,8.1,-40.88,523.0,-74.73,1,2,2006,0
2006-01-18,高雄市,FJ3 番茄 牛蕃茄 ,15.0,9.6,4.3,9.6,18.52,635.0,21.41,1,3,2006,0
2006-01-19,高雄市,FJ3 番茄 牛蕃茄 ,13.1,7.5,2.1,7.5,-21.87,900.0,41.73,1,4,2006,0
2006-01-20,高雄市,FJ3 番茄 牛蕃茄 ,15.0,2.5,2.0,4.9,-34.67,390.0,-56.67,1,5,2006,0
2006-01-21,高雄市,FJ3 番茄 牛蕃茄 ,15.0,10.0,5.1,10.0,104.08,260.0,-33.33,1,6,2006,0
2006-01-22,高雄市,FJ3 番茄 牛蕃茄 ,15.0,10.4,5.3,10.3,3.0,940.0,261.54,1,7,2006,0
2006-01-23,高雄市,FJ3 番茄 牛蕃茄 ,,,,,,,,1,1,2006,1
2006-01-24,高雄市,FJ3 番茄 牛蕃茄 ,17.9,15.7,8.4,14.7,42.72,620.0,-34.04,1,2,2006,0
2006-01-25,高雄市,FJ3 番茄 牛蕃茄 ,18.6,11.3,4.4,11.4,-22.45,915.0,47.58,1,3,2006,0
2006-01-26,高雄市,FJ3 番茄 牛蕃茄 ,24.6,19.4,3.9,17.3,51.75,1777.0,94.21,1,4,2006,0
2006-01-27,高雄市,FJ3 番茄 牛蕃茄 ,20.0,17.7,12.5,17.1,-1.16,2185.0,22.96,1,5,2006,0
2006-01-28,高雄市,FJ3 番茄 牛蕃茄 ,27.0,24.9,7.0,21.8,27.49,1520.0,-30.43,1,6,2006,0
2006-01-29,高雄市,FJ3 番茄 牛蕃茄 ,,,,,,,,1,7,2006,1
2006-01-30,高雄市,FJ3 番茄 牛蕃茄 ,,,,,,,,1,1,2006,1
