Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-01,高雄市,FG1 苦瓜 白大米 ,72.5,42.3,26.2,45.1,13.0,1960.0,-5.0,1,6,2000,0
2000-01-02,高雄市,FG1 苦瓜 白大米 ,59.2,48.1,26.1,45.9,1.77,2084.0,6.33,1,7,2000,0
2000-01-03,高雄市,FG1 苦瓜 白大米 ,52.8,44.0,30.1,43.0,-6.32,1800.0,-13.63,1,1,2000,0
2000-01-04,高雄市,FG1 苦瓜 白大米 ,56.0,40.1,17.1,38.7,-10.0,2096.0,16.44,1,2,2000,0
2000-01-05,高雄市,FG1 苦瓜 白大米 ,55.4,44.7,25.3,43.0,11.11,1860.0,-11.26,1,3,2000,0
2000-01-06,高雄市,FG1 苦瓜 白大米 ,64.5,48.0,20.0,45.7,6.28,1850.0,-0.54,1,4,2000,0
2000-01-07,高雄市,FG1 苦瓜 白大米 ,62.3,41.5,15.3,40.4,-11.6,2122.0,14.7,1,5,2000,0
2000-01-08,高雄市,FG1 苦瓜 白大米 ,60.0,46.2,19.3,43.6,7.92,2046.0,-3.58,1,6,2000,0
2000-01-09,高雄市,FG1 苦瓜 白大米 ,,,,,,,,1,7,2000,1
2000-01-10,高雄市,FG1 苦瓜 白大米 ,55.2,38.4,16.6,37.4,-14.22,2012.0,-1.66,1,1,2000,0
2000-01-11,高雄市,FG1 苦瓜 白大米 ,55.1,38.9,22.4,38.8,3.74,1942.0,-3.48,1,2,2000,0
2000-01-12,高雄市,FG1 苦瓜 白大米 ,60.3,36.5,19.9,37.9,-2.32,1578.0,-18.74,1,3,2000,0
2000-01-13,高雄市,FG1 苦瓜 白大米 ,64.1,47.0,26.8,46.4,22.43,1830.0,15.97,1,4,2000,0
2000-01-14,高雄市,FG1 苦瓜 白大米 ,62.7,41.8,26.0,42.8,-7.76,1835.0,0.27,1,5,2000,0
2000-01-15,高雄市,FG1 苦瓜 白大米 ,60.0,44.3,26.2,43.8,2.34,1930.0,5.18,1,6,2000,0
2000-01-16,高雄市,FG1 苦瓜 白大米 ,47.2,30.3,17.0,31.0,-29.22,2082.0,7.88,1,7,2000,0
2000-01-17,高雄市,FG1 苦瓜 白大米 ,46.0,34.9,19.2,34.0,9.68,1657.0,-20.41,1,1,2000,0
2000-01-18,高雄市,FG1 苦瓜 白大米 ,59.0,41.3,22.0,41.0,20.59,1670.0,0.78,1,2,2000,0
2000-01-19,高雄市,FG1 苦瓜 白大米 ,46.0,34.8,20.0,34.1,-16.83,1672.0,0.12,1,3,2000,0
2000-01-20,高雄市,FG1 苦瓜 白大米 ,50.0,36.6,22.3,36.4,6.74,1850.0,10.65,1,4,2000,0
2000-01-21,高雄市,FG1 苦瓜 白大米 ,50.0,38.8,22.7,37.8,3.85,2032.0,9.84,1,5,2000,0
2000-01-22,高雄市,FG1 苦瓜 白大米 ,50.0,37.2,23.2,37.0,-2.12,2822.0,38.88,1,6,2000,0
2000-01-23,高雄市,FG1 苦瓜 白大米 ,,,,,,,,1,7,2000,1
2000-01-24,高雄市,FG1 苦瓜 白大米 ,50.0,32.6,20.0,33.6,-9.19,2252.0,-20.2,1,1,2000,0
2000-01-25,高雄市,FG1 苦瓜 白大米 ,50.0,43.6,20.0,40.2,19.64,1700.0,-24.51,1,2,2000,0
