Date,Market,Product,Up_price,Mid_price,Low_price,Avg_price,Avg_price_diff,Volume,Volume_diff,Month,Week_day,Year,Rest_day
2000-01-02,台北一,SE6 青蔥 粉蔥 ,30.0,23.0,15.0,26.0,,19594.0,,1,7,2000,0
2000-01-03,台北一,SE6 青蔥 粉蔥 ,35.0,25.0,15.0,26.0,0.0,18924.0,-3.42,1,1,2000,0
2000-01-04,台北一,SE6 青蔥 粉蔥 ,30.0,22.0,14.0,23.5,-9.62,18776.0,-0.78,1,2,2000,0
2000-01-05,台北一,SE6 青蔥 粉蔥 ,25.0,20.0,12.0,19.5,-17.02,20576.0,9.59,1,3,2000,0
2000-01-06,台北一,SE6 青蔥 粉蔥 ,25.0,18.0,10.0,17.8,-8.72,23340.0,13.43,1,4,2000,0
2000-01-07,台北一,SE6 青蔥 粉蔥 ,21.0,15.0,8.0,14.4,-19.1,22008.0,-5.71,1,5,2000,0
2000-01-08,台北一,SE6 青蔥 粉蔥 ,25.0,18.0,10.0,18.7,29.86,26058.0,18.4,1,6,2000,0
2000-01-09,台北一,SE6 青蔥 粉蔥 ,,,,,,,,1,7,2000,1
2000-01-10,台北一,SE6 青蔥 粉蔥 ,28.0,20.0,12.0,20.3,8.56,21710.0,-16.69,1,1,2000,0
2000-01-11,台北一,SE6 青蔥 粉蔥 ,28.0,20.0,10.0,17.4,-14.29,21194.0,-2.38,1,2,2000,0
2000-01-12,台北一,SE6 青蔥 粉蔥 ,22.0,16.0,10.0,11.1,-36.21,26322.0,24.2,1,3,2000,0
2000-01-13,台北一,SE6 青蔥 粉蔥 ,20.0,13.0,6.0,12.3,10.81,22757.0,-13.54,1,4,2000,0
2000-01-14,台北一,SE6 青蔥 粉蔥 ,20.0,13.0,6.0,14.1,14.63,22976.0,0.96,1,5,2000,0
2000-01-15,台北一,SE6 青蔥 粉蔥 ,25.0,17.0,8.0,17.9,26.95,29824.0,29.81,1,6,2000,0
2000-01-16,台北一,SE6 青蔥 粉蔥 ,,,,,,,,1,7,2000,1
2000-01-17,台北一,SE6 青蔥 粉蔥 ,25.0,18.0,8.0,14.6,-18.44,30494.0,2.25,1,1,2000,0
2000-01-18,台北一,SE6 青蔥 粉蔥 ,20.0,14.0,7.0,12.9,-11.64,27550.0,-9.65,1,2,2000,0
2000-01-19,台北一,SE6 青蔥 粉蔥 ,15.0,10.0,5.0,11.9,-7.75,29797.0,8.16,1,3,2000,0
